CULTID,GISREADY,Contacted,Organizati,Criteria,Discipline,NumSeats,StreetAddr,Town,PostalCode,Contact,ContactTit,PhoneNum,Email,Website,Descriptio,Public,Longitude,Latitude,Gadd,Gtown,Gprov,F23,F24
      197.000000,        1.000000,        0.000000,Studio Twelve,Cultural Industry,Visual Art,n/a,4541 Nova Scotia 12 Trunk,Kentville,B4N 3V8,Erma Walker,Artist,678-8047,,,"Erma paints whatever grabs her: people in activity, landscapes, still life. Self-taught but studies with various artist. Work can be seen at Apple Bin Gallery, Aberdeen ArtSpace, the Fish Shack, and other locations.",,      -64.504600,       45.077840,4541 Nova Scotia 12 Trunk,Kentville,NS,AV_Cultural/png/CulturalIndustry.png,
      218.000000,        1.000000,        0.000000,Oaklawn Farm Zoo,Cultural Industry,Zoo,n/a,1007 Ward Road,Aylesford,B0P 1C0,,,847-9790,,http://oaklawnfarmzoo.ca,"A fun adventure for all ages, Oaklawn Farm Zoo boasts the largest display of Big Cats and Primates in Eastern Canada, and much more.
",,      -64.844850,       45.003180,1007 Ward Road,Aylesford,NS,AV_Cultural/png/CulturalIndustry.png,
      174.000000,        1.000000,        0.000000,Tides Photography Inc.,Cultural Industry,Photography,n/a,4079 Nova Scotia 359,Centreville,B0P 1J0,Dick Killam,Photographer,679-1949,,,"Dick Killam has been in business for over 30 years and is located in Halls Harbour, Nova Scotia, Canada. His home is located overlooking the Bay of Fundy which displays the highest tides in the world. This loc",,      -64.524690,       45.127970,4079 Nova Scotia 359,Centreville,NS,AV_Cultural/png/CulturalIndustry.png,
      148.000000,        1.000000,        0.000000,Rainbows End Books & discs,Cultural Industry,Literature,n/a,388 Nova Scotia 1 Trunk,Wolfville,B4P 1C9,,,697-3090,,,,,      -64.360190,       45.091710,388 Nova Scotia 1 Trunk,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      122.000000,        1.000000,        0.000000,Aspinall Pottery,Cultural Industry,Craft (pottery),n/a,9842 Main Street,Canning,B0P 1H0,Denise Aspinall,Artisan/Owner,582-7028,aspinallpottery@eastlink.ca,,"Porcelain mugs, bowls, platters, sauce dishes and more, thrown on the wheel and hand painted in delicate greens and blues.",,      -64.420210,       45.157300,9842 Main Street,Canning,NS,AV_Cultural/png/CulturalIndustry.png,
      166.000000,        1.000000,        0.000000,Digital Dungeon Studio,Cultural Industry,Music,n/a,80 Park Street,Kentville,B4N 1M3,Derek,Musician,365-2586,dereklindzon@hotmail.com,,Digital Dungeon Studio is fully equipped to record all your musical needs with Pro tools 8 up to 48 tracks available. Call or email for booking. Derek also teaches drum lessons.,,      -64.508370,       45.076880,80 Park Street,Kentville,NS,AV_Cultural/png/CulturalIndustry.png,
      170.000000,        1.000000,        0.000000,The Annapolis Academy of Music,Cultural Industry,Music,n/a,18-360 Main Street,Wolfville,B0P 1X0,Debbie Mailman,Owner,542-4456,,,Music School offering private and group instruction to all ages and abilities. A multi studio operation serving the community since 1993. Original and fun music programs for children birth to 8 years old. Summe,,      -64.337540,       45.094210,18-360 Main Street,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      189.000000,        1.000000,        0.000000,Carr/Bateman Studio,Cultural Industry,Visual Art,n/a,299 Woodside Road,Canning,B0P 1H0,Holly Carr & Alan Bateman,Artists,582-3309,mail@alanbateman.com,http://www.alanbateman.com,Alan & Holly are full-time artists who exhibit nationally. Their studio is at the base of the idyllic North Mountain.,,      -64.463350,       45.175780,299 Woodside Road,Canning,NS,AV_Cultural/png/CulturalIndustry.png,
       99.000000,        1.000000,        0.000000,Benjamin Bridge Vineyards,Cultural Industry,Agriculture,n/a,1841 White Rock Road,Gaspereau,B4P 2R1,,,542-9738,wines@benjaminbridge.com,http://www.benjaminbridge.com,,,      -64.380980,       45.064400,1841 White Rock Road,Gaspereau,NS,AV_Cultural/png/CulturalIndustry.png,
      153.000000,        1.000000,        0.000000,Apple Valley Scoop,Cultural Industry,Media,n/a,1561 Harrington Road,Kentville,B4N 3V7,,,678-8228,information@applevalleyscoop.com,http://applevalleyscoop.com,,,      -64.555240,       45.069490,1561 Harrington Road,Kentville,NS,AV_Cultural/png/CulturalIndustry.png,
      200.000000,        1.000000,        0.000000,Ink Spot Prining & Embroidery,Cultural Industry,Visual Art,n/a,8772 Commercial Street,New Minas,B4N 3C5,,,681-4465,mail@inkspot.ca,http://www.inkspot.ca,"At Inkspot Printing & Embroidery, we offer a one-stop shopping experience for your business, organization, team or personal needs.",,      -64.472570,       45.070980,8772 Commercial Street,New Minas,NS,AV_Cultural/png/CulturalIndustry.png,
      206.000000,        1.000000,        0.000000,Printemps Studio-Gallery,Cultural Industry,Visual Art,n/a,163 Main Street,Wolfville,B0P 1X0,Gudrun Mueller-Both,Artist,542-9483,,,"A graduate of printmaking at the University of Victoria, Gudrun works mainly with intaglio, woodcut-collage. She has exhibited in solo and group shows in Canada and Germany.",,      -64.348140,       45.092230,163 Main Street,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      177.000000,        1.000000,        0.000000,Photos by Trish,Cultural Industry,Photography,n/a,1164 Mc Kittrick Road,Kentville,B4N 2V9,Trish Robicheau,Photographer,679-1818,trishrobicheau@hotmail.com,http://www.photosbytrish.ca,,,      -64.495580,       45.092090,1164 Mc Kittrick Road,Kentville,NS,AV_Cultural/png/CulturalIndustry.png,
      143.000000,        1.000000,        0.000000,Wild Lupin Media,Cultural Industry,Film,n/a,41 Fielding Avenue,Kentville,B4N 2T4,,,678-7601,info@wildlupin.ca,http://www.wildlupin.ca,"One stop shopping for all your media needs. Whether you are in need of a completed project or professional consultation, we are here to help you achieve professional results for your business.",,      -64.520140,       45.072390,41 Fielding Avenue,Kentville,NS,AV_Cultural/png/CulturalIndustry.png,
      108.000000,        1.000000,        0.000000,Stirling Fruit Farms,Cultural Industry,Agriculture,n/a,10328 Nova Scotia 1 Trunk,Wolfville,B4P 2R2,,,542-3763,Hal@Stirlingsfruitfarms.ca,http://www.stirlingfruitfarms.ca,At Stirling Fruit Farms we have been growing apples for over three generations. On our farms in the Annapolis Valley we grow over 35 apple varieties. Today we are much more then apples! In our orchards we a,,      -64.382890,       45.085520,10328 Nova Scotia 1 Trunk,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      204.000000,        1.000000,        0.000000,I Box Publishing,Cultural Industry,Visual Art,n/a,1 - 614 Main Street,Wolfville,B4P 1E8,Mark Oakley,Artist,,moak@iboxpublishing.com,http://iboxpublishing.com/index.php,"Graphic novels, fantasy, and sci-fi cartoonist.",,      -64.337080,       45.094180,1 - 614 Main Street,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      100.000000,        1.000000,        0.000000,Gaspereau Vineyards,Cultural Industry,Agriculture,n/a,2239 White Rock Road,Gaspereau,B4P 2R1,,,542-1455,info@gaspereauwine.com,http://www.gaspereauwine.com,"The beautiful Gaspereau Valley is home to Gaspereau Vineyards, a small boutique winery showcasing some of the best wines Nova Scotia has to offer.",,      -64.356800,       45.068690,2239 White Rock Road,Gaspereau,NS,AV_Cultural/png/CulturalIndustry.png,
      172.000000,        1.000000,        0.000000,David Elliott Photography,Cultural Industry,Photography,n/a,153 Pereau Road,Canning,B0P 1H0,David Elliott,Photographer,582-3642,davephotoart@gmail.com,http://www.davidelliottphotography.com,David became seriously interested in photography about 10 years ago as a hobby. He not only does the photo shoot but also oversees and edits the photo from the time of capture to the final print.,,      -64.407220,       45.160130,153 Pereau Road,Canning,NS,AV_Cultural/png/CulturalIndustry.png,
      178.000000,        1.000000,        0.000000,Dave Hines Photography,Cultural Industry,Photography,n/a,383 Main Street,Wolfville,B0P 1X0,Dave Hines,Portrait Photographer,542-4463,d.hines@ns.sympatico.ca,,"Professional photography for graduation, families, weddings, business portraits, children and babies, passports.",,      -64.359740,       45.091730,383 Main Street,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      217.000000,        1.000000,        0.000000,Dragonfire Art,Cultural Industry,Visual Art/Literature,n/a,1122 First Street,Canning,B0P 1H0,Nancy J. Logeman,Artist/Writer,582-7681,,,"Nancy works mainly in acrylics and watercolour, some graphite, pen and ink. She prefers doing abstract and semi-abstract work, also landscapes and animal subjects. As a writer, she creates mainly poetry and",,      -64.421410,       45.159490,1122 First Street,Canning,NS,AV_Cultural/png/CulturalIndustry.png,
      167.000000,        1.000000,        0.000000,Long & McQuade,Cultural Industry,Music,n/a,1007 Dow Road,New Minas,B4N 3R4,,,681-1461,newminas@long-mcquade.com,http://www.long-mcquade.com,Long & McQuade is the largest chain of musical instrument retailers in Canada.,,      -64.468120,       45.067350,1007 Dow Road,New Minas,NS,AV_Cultural/png/CulturalIndustry.png,
      126.000000,        1.000000,        0.000000,Keltica Quilt Designs,Cultural Industry,Craft (quilting),n/a,28 Russia Road,Harbourville,B0P 1E0,Jean Huntley-Maynard,Artisan/Owner,538-0080,,http://www.kelticaquiltdesigns.ca,"Keltica Quilt Designs features quilts, wall hangings, runners and note cards - all with traditional celtic knots and animals. The gallery is open daily from May to September, by appointment or chance. Commissio",,      -64.802400,       45.150380,28 Russia Rd,Harbourville,NS,AV_Cultural/png/CulturalIndustry.png,
      144.000000,        1.000000,        0.000000,Empire Cinemas,Cultural Industry,Film,n/a,8944 Commercial Street,New Minas,B4N 3C9,,,681-8080,,http://www.empiretheatres.com,National chain of movie theatres and cinemas in Canada.,,      -64.462640,       45.068150,8944 Commercial Street,New Minas,NS,AV_Cultural/png/CulturalIndustry.png,
      116.000000,        1.000000,        0.000000,Little Foot Yurts,Cultural Industry,Craft,n/a,1459 White Rock Road,Wolfville,B4P 2R1,Selene and Alex Cole,Owners,670-4556,info@lfy.ca,http://www.lfy.ca,"We are builders of Nova Scotia coppice wood yurts, inspired by the Kyrgyz and Mongolian style yurts. Our mission is to make these beautiful shelters accessible through rentals, sales, and educational workshop",,      -64.402600,       45.056580,1459 White Rock Road,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      175.000000,        1.000000,        0.000000,Dreamcatchers Studios,Cultural Industry,Photography,n/a,3 River Street,Kentville,,Chelsea Brewster,Photographer,365-5998,dreamcapturing@gmail.com,http://www.dreamcapturing.com,"Specializing in photography, scrapbooking and portfolio development.",,      -64.495840,       45.079710,3 River Street,Kentville,NS,AV_Cultural/png/CulturalIndustry.png,
      157.000000,        1.000000,        0.000000,The Grapevine,Cultural Industry,Media,n/a,495 Main Street,Kentville,B4N 1L4,Jeremy Novak & Jocelyn Hatt,Co-Editors/Owners,692-8546.,grapevine.wolfville@gmail.com,http://grapevine.wolfville.org,"Radiating from Wolfville outwards, The Grapevine is a once-every-two-week countertop arts publication focusing on community, awareness and involvement.",,      -64.499870,       45.077620,495 Main Street,Kentville,NS,AV_Cultural/png/CulturalIndustry.png,
      187.000000,        1.000000,        0.000000,Capflex Networking,Cultural Industry,Visual Art,n/a,990 Alders Rd,"Kings, Subd. C","B4N 4K1
","Bruce Dienes
",Contact,678-6390,info@capflex.com,http://www.capflex.com,"CAPFLEX Networking aims to provide you with a high quality one-stop-shop for all your IT services, from web design to computer repair; from technical support to creative photography; from backup software to",,      -64.472700,       45.017600,990 Alders Rd,Kings,Subd. C,AV_Cultural/png/CulturalIndustry.png,
      195.000000,        1.000000,        0.000000,Manitou Art Gallery,Cultural Industry,Visual Art,n/a,"4623 Highway #2, North Alton, RR #2",Kentville,B4N 3V8,Bruce Rafuse,Artist,678-0453,,,"Bruce is self-trained and uses oil and charcoal in a photo-realism style. concentrating on wildlife, landscapes, native-Canadian and non-industrial subjects. Bruce also sculpts with bone, stone and wood.",,      -64.494470,       45.076910,4623 Highway #2,North Alton,RR #2,AV_Cultural/png/CulturalIndustry.png,NS
      147.000000,        1.000000,        0.000000,Coles,Cultural Industry,Literature,n/a,9256 Commercial Street,New Minas,B4N 4A9,,,681-0880,,,,,      -64.443200,       45.068340,9256 Commercial Street,New Minas,NS,AV_Cultural/png/CulturalIndustry.png,
      129.000000,        1.000000,        0.000000,Stained Glass Studio,Cultural Industry,Craft (stained glass),n/a,674 West Hall's Harbour Road,Hall's Harbour,B0P 1J0,,,678-3485,,,,,      -64.611580,       45.181670,674 West Hall's Harbour Road,Hall's Harbour,NS,AV_Cultural/png/CulturalIndustry.png,
      611.000000,        1.000000,        0.000000,Rhythm & Sole Dance Studio,Cultural Industry,Dance,n/a,12 Skyway Drive,Wolfville,B4P 1L1,,,678-7284,,,,,      -64.361110,       45.082570,12 Skyway Drive,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      128.000000,        1.000000,        0.000000,RHONDA does WHAT!,Cultural Industry,Craft (rug-making),n/a,51 John Pryor Drive,Wolfville,B4P 1P3,Rhonda Brennan,Artist,542-9826,,,"Reclamates/renovates/rejuvenates clothes, wood, paper, glass, textiles, furniture, plastic, metal. Creates rugs using 100% recycled materials, paintings, sculptures and ever so much more.",,      -64.355450,       45.081870,51 John Pryor Drive,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      213.000000,        1.000000,        0.000000,Atlantic Fabrics Crafts & More,Cultural Industry,Visual Art/Craft,n/a,963 Central Avenue,Greenwood,B0P 1N0,,,765-0600,info@atlanticfabrics.com,http://www.atlanticfabrics.com,"Graphite and Pastel portraits were a means of support throughout the college years and Eileen still does an occasional commission. Her other realist works feature a variety of materials including acrylic, waterco",,      -64.927290,       44.968620,963 Central Avenue,Greenwood,NS,AV_Cultural/png/CulturalIndustry.png,
      131.000000,        1.000000,        0.000000,Steven Kennard Studio Gallery,Cultural Industry,Craft (Wood Turner),n/a,9545 Nova Scotia 221,Canning,B0P 1H0,Steven Kennard,Owner/Artisan,582-3795,steven@stevenkennard.com,http://www.stevenkennard.com,"Steven's studio gallery features his award winning, turned and sculpted boxes of rare quality and beauty made from exotic woods.",,      -64.429170,       45.157390,9545 Nova Scotia 221,Canning,NS,AV_Cultural/png/CulturalIndustry.png,
      110.000000,        1.000000,        0.000000,Tangled Garden,Cultural Industry,Artisanal Food,n/a,11827 Nova Scotia 1 Trunk,Grand Pre,BOP 1MO,Beverly McClare,Owner,542-9811,tangledgarden@ns.sympatico.ca,http://www.tangledgarden.ns.ca,"Tangled Garden began 20 years ago with a handyman special on one acre of land in Grand Pre in the Annapolis Valley of Nova Scotia. The property now features our home, herb garden, labyrinth, gallery and a",,      -64.295890,       45.105190,11827 Nova Scotia 1 Trunk,Grand Pre,NS,AV_Cultural/png/CulturalIndustry.png,
      186.000000,        1.000000,        0.000000,Studio by the Lake,Cultural Industry,Visual Art,n/a,412 Lake Drive,"Kings, Subd. A",B0P 1G0,Dianne Arenburg,Arist,678-1637,,,"Produces original works in watercolour, pastel, oil, and pencil as well as unique clay creations. Dianne welcomes custom work and does portraits from photos. She invites you to visit her studio by appointment.",,      -64.594150,       45.018340,412 Lake Drive,,,AV_Cultural/png/CulturalIndustry.png,
      210.000000,        1.000000,        0.000000,The Pale Green Horse Studio/gallery,Cultural Industry,Visual Art,n/a,465 West Brooklyn Mountain Road,Wolfville,B0P 1X0,Jeanne Aisthorpe-Smith,Artist,542-0595,info@novascotiaart.com,,"Jeanne Aisthorpe-Smith works in several mediums, primarily oils. Her brightly colored landscapes are shown in several galleries across North America.",,      -64.265660,       45.073880,465 West Brooklyn Mountain Road,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      203.000000,        1.000000,        0.000000,Harvest Gallery,Cultural Industry,Visual Art,n/a,462 Main Street,Wolfville,B4P 1E2,,,542-7093,info@harvestgallery.ca,http://www.harvestgallery.ca,"Located in the charming town of Wolfville in Nova Scotia's bountiful Annapolis Valley, Harvest Gallery features a wonderfully diverse collection of art and fine craft from many of the region's best-loved artists a",,      -64.363140,       45.091500,462 Main Street,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      155.000000,        1.000000,        0.000000,Gaspereau Press,Cultural Industry,Media,n/a,47 Church Avenue,Kentville,B4N 2M7,,,678 6002,info@gaspereau.com,http://www.gaspereau.com,"At the core of our philosophy is a commitment to making books that reinstate the importance of the book as a physical object, reuniting publishing and the book arts.",,      -64.495730,       45.076380,47 Church Avenue,Kentville,NS,AV_Cultural/png/CulturalIndustry.png,
      123.000000,        1.000000,        0.000000,Sun Porch Pottery Studio,Cultural Industry,Craft (pottery),n/a,10228 Nova Scotia 221,Canning,B0P 1H0,Jane Harrington,Artisan,582-7762,sunporchpottery@yahoo.ca,,I have a small pottery studio in Habitant Nova Scotia. I sometimes teach classes or individuals. The studio is open by chance or appointment.,,      -64.414890,       45.156600,10228 Nova Scotia 221,Canning,NS,AV_Cultural/png/CulturalIndustry.png,
       98.000000,        1.000000,        0.000000,Blomidon Estate Winery,Cultural Industry,Agriculture,n/a,10318 Nova Scotia 221,Canning,B0P 1H0,,,582-7565,retail@blomidonwine.com,http://www.blomidonwine.com,"Rising majestically from the shores of the Minas Basin, Cape Blomidon is famous for its spectacular scenery and our proximity to this natural landmark provided the inspiration for our name.",,      -64.414890,       45.156600,10318 Nova Scotia 221,Canning,NS,AV_Cultural/png/CulturalIndustry.png,
      136.000000,        1.000000,        0.000000,Dance ConXion,Cultural Industry,Dance,n/a,1562 Newcombe Boulevard,Coldbrook,B4R 1A1,,,365-7300,info@danceconxion.com,http://www.danceconxion.com,"At Dance ConXion our goal is to encourage creative expression and positive self esteem through dance.Our certified staff is dedicated to providing quality instruction in an energetic, fun filled yet structured envir",,      -64.567070,       45.067660,1562 Newcombe Boulevard,Coldbrook,NS,AV_Cultural/png/CulturalIndustry.png,
      134.000000,        1.000000,        0.000000,Ironwood Forge and Woodworks,Cultural Industry,Craft (Woodwork/Blacksmith),n/a,149 Allison Coldwell Road,Wolfville,B0P 1X0,Ian Hope-Simpson,Artisan,542-2057,ian@hope-simpson.com,http://www.hope-simpson.com,"Largely self-taught, Ian is a traditional artist and blacksmith producing functional and sculptural creations for home and garden in iron and wood.",,      -64.383990,       45.040380,149 Allison Coldwell Road,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      119.000000,        1.000000,        0.000000,Ravens Light Studio,Cultural Industry,Craft (Glass artist),n/a,1181 Russia Road,Black Rock,B0P 1V0,Raven Hazelwood-Clark,Artist,538-3462,ravenglass99@yahoo.com,http://www.ravenslight.ca,"Bringing 24 years of passion and experience to the creation of art glass panels, Raven is a member of the Glass Artists Association of Canada. He creates dynamic commissioned free-hanging and architectural pi",,      -64.735780,       45.156490,1181 Russia Road,Black Rock,NS,AV_Cultural/png/CulturalIndustry.png,
      164.000000,        1.000000,        0.000000,Webster's Guitar Academy,Cultural Industry,Music,n/a,994 Pleasant Street,Canning,B0P 1H0,,,582-1786,info@webstersguitaracademy.com,http://www.webstersguitaracademy.com,"We specialize in fretted instruments. If you have an interest in guitar lessons (acoustic, electric, classical, Celtic or bass), or even bouzouki or mandolin lessons, then Webster's Guitar Academy is for you!",,      -64.418370,       45.158830,994 Pleasant Street,Canning,NS,AV_Cultural/png/CulturalIndustry.png,
      185.000000,        1.000000,        0.000000,Serendipity Studios,Cultural Industry,Visual Art,n/a,204 Main Street,Berwick,B0P 1E0,Sue Redford,Artist,538-0008,,,"Mainly self-taught, Sue's work is vignettes of everyday life, as well as architecture and wildlife. She has exhibited in juried competitions in BC and her work is in collections in Canada. Instruction offered.",,      -64.732270,       45.051240,204 Main Street,Berwick,NS,AV_Cultural/png/CulturalIndustry.png,
      109.000000,        1.000000,        0.000000,Ran-Cher Acres,Cultural Industry,Artisanal Food,n/a,744 Canaan Road,"Kings, Subd. A",B0P 1C0,"Randy, Cheryl & Sara Hiltz",Owners,847-3895,ran_cher_acres@eastlink.ca,http://www.rancheracres.com,"Ran-Cher Acres is a dairy goat farm specializing in cheese making, owned and operated by Randy and Cheryl Hiltz and their youngest daughter, Sara.",,      -64.766640,       44.974210,744 Canaan Road,"Kings, Subd. A",NS,AV_Cultural/png/CulturalIndustry.png,
      184.000000,        1.000000,        0.000000,Eileen Boyd Art Studio,Cultural Industry,Visual Art,n/a,1976 Hall Road,Berwick,B0P 1E0,Eileen Boyd,Visual Artist,538-1338,eileenboyd@eastlink.ca,http://www.eileenboyd.ca,"Graphite and Pastel portraits were a means of support throughout the college years and Eileen still does an occasional commission. Her other realist works feature a variety of materials including acrylic, waterco",,      -64.765180,       45.012910,1976 Hall Road,Berwick,NS,AV_Cultural/png/CulturalIndustry.png,
      162.000000,        1.000000,        0.000000,Wolfville Community Radio,Cultural Industry,Media,n/a,21 Elm Avenue,Wolfville,B4P 2A1,,,542-5760,info@wolfvilleradio.ca,http://www.wolfvilleradio.ca,,,      -64.363950,       45.092460,21 Elm Avenue,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      180.000000,        1.000000,        0.000000,Two Planks & A Passion Theatre,Cultural Industry,Theatre,n/a,555 Ross Creek Road,Canning,B0P 1H0,Ken Schwartz,Artistic Director,582-3073,mail@twoplanks.ca,http://www.twoplanks.ca,committed to creating unforgettable shared experiences through one of the oldest mediums that exists: the theatre.,,      -64.428110,       45.158350,555 Ross Creek Road,Canning,NS,AV_Cultural/png/CulturalIndustry.png,
      209.000000,        1.000000,        0.000000,Terry Drahos Studio,Cultural Industry,Visual Art,n/a,311 Main Street,Wolfville,B4P 1C7,Terry Drahos,Artist,,tdrahos@mac.com,http://www.terryhavlisdrahos.com,"Originally from Chicago, IL, Terry Havlis Drahos received her Bachelor of Design from Southern Illinois University in 1983. She completed her Bachelor of Education at Acadia and NSCAD Universities (Wolfvill",,      -64.357080,       45.091850,311 Main Street,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      127.000000,        1.000000,        0.000000,Lynn Denney Rug Hooking Studio,Cultural Industry,Craft (rug hooking),n/a,38 River Street,Kentville,B4N 1G9,Lynn Denney,Owner,365-3220,,http://www.nslocal.ca/lynndenney,"We offer traditional rug hooking wool, rug hooking kits, patterns, workshops, custom hooked portraits, custom dying, and more.",,      -64.495850,       45.079680,38 River Street,Kentville,NS,AV_Cultural/png/CulturalIndustry.png,
      202.000000,        1.000000,        0.000000,Starr's Point Studio,Cultural Industry,Visual Art,n/a,228 Collins Road,Port Williams,B0P 1T0,Marie-Jose Pelletier,Artist,542-7611,,,"Marie-Jose, an award-winning artist, brings an unusual perspective to the portraits and still life work she creates in paints and pastels.",,      -64.409260,       45.109770,228 Collins Road,Port Williams,NS,AV_Cultural/png/CulturalIndustry.png,
      152.000000,        1.000000,        0.000000,The Aurora Newspaper,Cultural Industry,Media,n/a,14 Wing Greenwood,Greenwood,B0P 1N0,Stephen Boates,Managing Editor,765-1494 ext 5441,editor@auroranewspaper.com,http://www.auroranewspaper.com,"The Aurora Newspaper is published each Monday by 14 Wing under the authority of Colonel J.A. Irvine, M.S.M., CD, Wing Commander.",,      -64.922470,       44.979700,14 Wing Greenwood,Greenwood,NS,AV_Cultural/png/CulturalIndustry.png,
